,,ohlc,ohlc,ohlc,ohlc
,,open,high,low,close
,timestamp,,,,
btrx,2021-02-24 17:00:00,49435.14,49999.999,49380.08,49883.52
btrx,2021-02-24 17:20:00,49883.52,49964.162,49658.834,49800.0
btrx,2021-02-24 17:40:00,49746.171,50063.895,49746.171,50050.175
btrx,2021-02-24 18:00:00,50071.68,50071.68,49605.114,49610.309
btrx,2021-02-24 18:20:00,49610.309,50006.019,49567.227,49919.965
btrx,2021-02-24 18:40:00,49941.927,49941.927,49579.819,49585.974
btrx,2021-02-24 19:00:00,49605.0,49695.27,49363.67,49492.901
btrx,2021-02-24 19:20:00,49491.564,49561.35,48861.2,48870.0
btrx,2021-02-24 19:40:00,48874.44,49184.006,48874.44,48984.14
btrx,2021-02-24 20:00:00,48950.8,49279.19,48868.582,48959.0
btrx,2021-02-24 20:20:00,48890.686,49000.0,48623.55,48837.05
btrx,2021-02-24 20:40:00,48860.614,49241.809,48656.39,49184.99
btrx,2021-02-24 21:00:00,49122.005,49170.683,48251.0,48260.0
btrx,2021-02-24 21:20:00,48294.974,48534.965,48174.75,48423.06
btrx,2021-02-24 21:40:00,48429.03,48942.999,48120.0,48787.489
btrx,2021-02-24 22:00:00,48731.15,48763.325,48084.824,48359.968
btrx,2021-02-24 22:20:00,48330.247,48972.019,48325.665,48697.75
btrx,2021-02-24 22:40:00,48713.34,48916.999,48496.086,48887.82
btrx,2021-02-24 23:00:00,48858.285,49535.879,48793.59,49210.791
btrx,2021-02-24 23:20:00,49233.813,49750.0,49233.813,49666.02
btrx,2021-02-24 23:40:00,49596.47,49775.153,49517.96,49742.749
cbse,2021-02-24 00:00:00,48899.99,49114.02,47583.0,47800.99
cbse,2021-02-24 00:20:00,47800.37,47806.83,47002.0,47728.49
cbse,2021-02-24 00:40:00,47728.49,48525.23,47571.99,48487.22
cbse,2021-02-24 01:00:00,48498.8,49078.37,48437.32,49033.55
cbse,2021-02-24 01:20:00,49026.78,49375.0,48759.13,49317.9
cbse,2021-02-24 01:40:00,49306.75,50353.43,49293.66,50236.98
cbse,2021-02-24 02:00:00,50236.98,50600.0,49900.0,50100.0
cbse,2021-02-24 02:20:00,50100.0,50489.0,49832.71,50356.93
cbse,2021-02-24 02:40:00,50357.69,50450.0,50039.71,50220.01
cbse,2021-02-24 03:00:00,50220.01,50559.39,50084.76,50484.52
cbse,2021-02-24 03:20:00,50484.52,50550.0,50226.15,50550.0
cbse,2021-02-24 03:40:00,50546.16,51000.0,50321.65,50932.71
cbse,2021-02-24 04:00:00,50929.46,51398.0,50929.33,51021.41
cbse,2021-02-24 04:20:00,51015.95,51170.64,50634.18,50653.42
cbse,2021-02-24 04:40:00,50647.46,50991.5,50358.54,50650.86
cbse,2021-02-24 05:00:00,50655.08,51025.22,50217.56,50249.49
cbse,2021-02-24 05:20:00,50243.16,50527.62,49978.89,50502.98
cbse,2021-02-24 05:40:00,50496.73,50554.59,50197.0,50225.89
cbse,2021-02-24 06:00:00,50234.41,50705.94,49436.23,49700.54
cbse,2021-02-24 06:20:00,49700.54,50151.78,49539.19,49865.61
cbse,2021-02-24 06:40:00,49864.8,50400.0,49719.18,50099.64
cbse,2021-02-24 07:00:00,50098.05,50164.93,49520.91,49709.43
cbse,2021-02-24 07:20:00,49708.78,50243.01,49600.0,50141.45
cbse,2021-02-24 07:40:00,50139.79,50350.0,49971.6,50082.62
cbse,2021-02-24 08:00:00,50090.93,50888.71,49782.86,50753.82
cbse,2021-02-24 08:20:00,50733.82,50891.81,50549.77,50730.55
cbse,2021-02-24 08:40:00,50730.55,50752.41,50338.02,50666.7
cbse,2021-02-24 09:00:00,50664.17,50980.95,50356.56,50938.26
cbse,2021-02-24 09:20:00,50941.33,51257.61,50696.7,51244.64
cbse,2021-02-24 09:40:00,51249.44,51415.41,50875.38,50900.68
cbse,2021-02-24 10:00:00,50904.97,51055.38,50352.36,50549.05
cbse,2021-02-24 10:20:00,50541.86,50792.58,50172.36,50353.43
cbse,2021-02-24 10:40:00,50353.43,50633.57,50110.0,50134.22
cbse,2021-02-24 11:00:00,50129.71,50637.36,50129.7,50341.61
cbse,2021-02-24 11:20:00,50358.18,50939.86,50343.01,50625.91
cbse,2021-02-24 11:40:00,50625.91,50691.8,50222.22,50380.0
